Country,Total Navy,Self Propelled guns,Man Power,Submarines,Total fighters,Destroyers,Tanks,Helicopter,Aircraft,Reserve Man power,Population
Canada,63,0,"95,000",4,64,1,181,175,426,"51,000","35,099,836"
Turkmenistan,4,68,"22,000",0,24,0,712,16,63,"35,000","5,231,422"
Lithuania,12,0,"15,000",0,0,0,0,4,9,"4,260","2,884,433"
Cambodia,27,0,"125,000",0,0,0,525,16,21,"200,000","15,708,756"
Ethiopia,0,85,"185,500",0,24,0,"2,300",33,80,0,"99,465,819"
Argentina,42,43,"75,000",3,32,4,412,96,252,"31,240","43,431,886"
Bolivia,173,0,"55,500",0,0,0,54,30,84,"37,100","10,800,882"
Cameroon,64,0,"15,000",0,0,0,0,11,33,"10,000","23,739,218"
Bahrain,39,13,"15,000",0,25,0,180,62,104,"112,500","1,346,613"
Saudi Arabia,55,524,"235,000",0,245,0,"1,210",204,722,"25,000","27,752,316"
Slovenia,2,0,"7,500",0,0,0,84,16,28,"8,300","1,983,412"
Guatemala,26,0,"15,500",0,0,0,20,19,35,0,"14,918,999"
Bosnia and Herzegovina,0,15,"15,000",0,0,0,149,20,20,"7,000","3,867,055"
Germany,81,154,"180,000",5,169,0,408,359,676,"145,000","80,854,408"
Spain,46,96,"125,000",3,108,0,327,159,540,"16,200","48,146,134"
Netherlands,56,18,"50,000",4,66,0,0,68,164,"32,200","16,947,904"
Oman,16,15,"72,000",0,17,0,191,45,109,"20,000","3,286,936"
Tanzania,19,0,"30,000",0,14,0,30,2,35,"80,000","51,045,882"
Gabon,10,0,"5,000",0,6,0,0,16,33,0,"1,705,336"
New Zealand,11,0,"9,000",0,0,0,0,24,51,"2,400","4,438,393"
Yemen,30,25,"67,000",0,77,0,"1,260",62,170,"71,200","26,737,317"
Pakistan,197,465,"620,000",5,304,0,"2,924",306,923,"515,000","199,085,847"
Albania,31,0,"14,550",0,0,0,0,22,22,"5,000","3,029,278"
United Arab Emirates,75,177,"65,000",0,96,0,545,199,515,0,"5,779,760"
India,295,290,"1,325,000",14,679,10,"6,464",646,"2,086","2,143,000","1,251,695,584"
Azerbaijan,31,119,"70,000",4,18,0,314,85,127,"300,000","9,780,780"
Kenya,19,30,"24,150",0,17,0,76,62,132,"5,000","45,925,301"
South Korea,166,"1,990","625,000",15,406,12,"2,381",679,"1,451","2,900,000","49,115,196"
Belarus,0,583,"65,000",0,37,0,"1,665",57,181,"290,000","9,589,689"
Tajikistan,0,0,"6,000",0,0,0,37,20,25,0,"8,191,958"
Turkey,194,"1,013","410,500",13,207,0,"3,778",445,"1,007","185,630","79,414,269"
Afghanistan,0,0,"200,000",0,0,0,700,129,185,0,"32,564,342"
Bangladesh,89,18,"400,000",0,45,0,680,54,150,"2,280,000","168,957,745"
Mongolia,0,0,"10,850",0,0,0,420,7,10,"137,000","2,992,908"
France,118,325,"205,000",10,284,11,423,611,"1,282","195,770","66,553,766"
Slovakia,0,16,"13,500",0,12,0,22,16,47,0,"5,445,027"
Somalia,3,0,"12,000",0,0,0,140,0,25,"24,000","10,616,380"
Peru,60,12,"120,660",6,26,0,85,83,246,"272,000","30,444,999"
Laos,36,0,"30,000",0,0,0,55,14,17,"100,000","6,911,544"
Norway,62,54,"26,500",6,46,0,52,34,104,"45,250","5,207,689"
Singapore,40,48,"72,000",6,119,0,212,71,262,"950,000","5,674,472"
United States of America,415,"1,934","1,400,000",75,"2,308",62,"8,848","6,084","13,444","1,100,000","321,368,864"
Republic of the Congo,6,0,"10,000",0,4,0,48,10,15,0,"4,755,097"
China,714,"1,710","2,335,000",68,"1,230",32,"9,150",802,"2,942","2,300,000","1,367,485,388"
Armenia,0,38,"70,000",0,0,0,166,41,63,"210,000","3,056,382"
Ukraine,25,"1,302","160,000",0,39,0,"2,809",92,234,"1,000,000","44,429,471"
Ghana,20,0,"13,500",0,0,0,0,10,20,0,"26,327,649"
Indonesia,221,37,"476,000",2,35,0,468,152,420,"400,000","255,993,674"
Libya,5,50,"35,000",0,20,0,340,27,57,"81,000","6,411,776"
Finland,270,90,"36,500",0,54,0,250,27,155,"357,000","5,476,922"
Central African Republic,0,0,"4,500",0,0,0,4,2,4,0,"5,391,539"
Sweden,63,0,"14,000",5,74,0,120,46,228,"26,000","9,801,616"
Vietnam,65,524,"415,000",5,73,0,"1,470",150,289,"5,040,000","94,348,835"
Mali,0,0,"7,500",0,9,0,24,5,15,0,"16,955,536"
Russia,352,"5,972","766,055",60,751,15,"15,398","1,237","3,547","2,485,000","142,423,773"
Bulgaria,29,150,"35,000",0,19,0,160,25,68,"302,500","7,186,893"
Romania,48,0,"75,000",0,26,0,875,86,125,"80,000","21,666,350"
Angola,57,28,"90,000",0,60,0,244,105,273,"30,000","19,625,353"
Portugal,41,18,"40,000",2,33,0,133,25,110,"211,000","10,825,309"
South Africa,30,43,"89,000",3,17,0,195,96,212,"17,100","53,675,563"
Malaysia,61,0,"110,000",2,42,0,74,79,227,"296,500","30,513,848"
Austria,0,83,"30,000",0,15,0,56,66,125,"27,000","8,665,550"
Mozambique,8,0,"11,200",0,8,0,96,4,15,0,"25,303,113"
Uganda,8,0,"45,000",0,13,0,220,22,47,"2,000","37,101,745"
Japan,131,202,"250,000",17,287,43,678,638,"1,590","57,900","126,919,659"
Niger,0,0,"5,500",0,0,0,0,7,17,0,"18,045,729"
Brazil,110,112,"330,000",5,43,0,486,251,735,"1,800,000","204,259,812"
Kuwait,38,98,"15,500",0,27,0,368,42,106,"31,000","2,788,534"
Panama,20,0,"12,000",0,0,0,0,14,24,0,"3,657,024"
Madagascar,8,0,"13,500",0,0,0,12,4,15,"8,100","23,812,681"
Ivory Coast,10,0,"9,500",0,0,0,5,5,5,0,"23,295,302"
Nigeria,75,25,"130,000",0,10,0,148,38,105,"32,000","181,562,056"
Ecuador,19,12,"40,000",2,10,0,202,48,126,"118,500","15,868,396"
Czech Republic,0,86,"21,100",0,12,0,123,57,114,"11,000","10,644,842"
Australia,47,0,"60,000",6,78,0,59,166,417,"44,240","22,751,014"
Iran,398,320,"545,000",33,137,0,"1,658",128,479,"1,800,000","81,824,270"
Algeria,69,250,"512,000",6,89,0,975,210,451,"400,000","39,542,166"
